"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"177","2","CIP308328.44","17.5","2012-02-15","91.0","1.0","2.0","","","","","","","","3.4","","","","17.0","2.857142857142857"
"178","3","CIP308328.44","15.3","2012-02-15","91.0","1.0","1.99","","","","","","","","2.3","","","","15.0","1.9607843137254948"
"179","4","CIP308328.44","30.0","2012-02-15","91.0","1.0","2.1","","","","","","","","1.5","","","","28.0","6.666666666666667"
"180","5","CIP308328.44","25.8","2012-03-15","120.0","1.0","2.0","","","","","","","","1.2","","","","23.0","10.852713178294577"
"181","2","CIP308328.98","10.6","2012-03-09","114.0","1.0","2.3","","","","","","","","2.0","","","","10.2","3.7735849056603805"
"182","3","CIP308328.98","9.4","2012-03-09","114.0","1.0","2.5","","","","","","","","1.5","","","","9.1","3.191489361702135"
"183","5","CIP308328.98","7.6","2012-02-09","85.0","1.0","2.4","","","","","","","","2.0","","","","7.3","3.947368421052629"
"184","1","CIP308328.113","11.0","2012-02-15","91.0","5.0","3.8","3.6","3.5","3.5","3.5","","","3.525","2.5","2.5","2.0","2.25","8.0","27.27272727272727"
"185","2","CIP308328.113","10.8","2012-02-15","91.0","5.0","3.5","3.0","3.0","3.0","3.0","","","3.0","2.4","2.0","2.0","2.0","7.8","27.777777777777786"
"186","3","CIP308328.113","14.3","2012-02-15","91.0","5.0","4.1","4.0","3.5","3.4","3.0","","","3.475","2.5","2.0","2.0","2.0","11.0","23.07692307692308"
"187","4","CIP308328.113","12.6","2012-02-15","91.0","5.0","5.0","3.5","3.4","3.3","2.5","","","3.175","2.3","2.0","2.0","2.0","9.8","22.222222222222214"
"188","5","CIP308328.113","16.3","2012-02-15","91.0","5.0","3.5","3.0","2.8","2.5","2.5","","","2.7","2.0","2.0","2.0","2.0","13.0","20.245398773006137"
"189","1","CIP308328.43","15.1","2012-02-13","89.0","1.0","3.2","","","","","","","","3.5","","","","14.6","3.3112582781456954"
"190","2","CIP308328.43","33.3","2012-02-13","89.0","1.0","3.5","","","","","","","","2.6","","","","32.9","1.201201201201197"
"191","3","CIP308328.43","11.2","2012-02-13","89.0","1.0","3.4","","","","","","","","2.8","","","","10.8","3.5714285714285587"
"192","4","CIP308328.43","20.8","2012-02-13","89.0","1.0","3.3","","","","","","","","2.1","","","","20.5","1.4423076923076956"
"193","5","CIP308328.43","15.3","2012-02-13","89.0","1.0","3.0","","","","","","","","2.0","","","","15.0","1.9607843137254948"
"194","1","CIP308328.47","20.4","2012-02-27","103.0","1.0","5.72","","","","","","","","2.89","","","","18.0","11.764705882352935"
"195","2","CIP308328.47","10.7","2012-02-27","103.0","1.0","4.11","","","","","","","","2.57","","","","9.2","14.018691588785048"
"196","3","CIP308328.47","13.1","2012-02-27","103.0","1.0","5.21","","","","","","","","2.34","","","","11.5","12.213740458015266"
